,meta_id,post_id,meta_key,meta_value
172237,220612,12796,engineers,"a:1:{i:0;s:3:""166"";}"
172238,220613,12796,_engineers,field_60152b23d750d
172239,220614,12796,street,
172240,220615,12796,_street,field_60213e253c784
172241,220616,12796,house,
172242,220617,12796,_house,field_60213e2d3c785
172243,220618,12796,city,Kibbutz En Harod ihud
172244,220619,12796,_city,field_60213e353c786
172245,220620,12796,zip,1896000
172246,220621,12796,_zip,field_6249ad67f0cfb
172247,220622,12796,employees_num,
172248,220623,12796,_employees_num,field_60213e4c3c788
172249,220624,12796,irs,
172250,220625,12796,_irs,field_601527f824860
172251,220626,12796,vat,
172252,220627,12796,_vat,field_601527f824869
186534,235417,12796,_edit_lock,1654507815:14
186535,235418,12796,_edit_last,14
186536,235419,12796,country,
186537,235420,12796,_country,field_60213e393c787
186538,235421,12796,irs_number,
186539,235422,12796,_irs_number,field_60213e553c789
186540,235423,12796,vat_number,
186541,235424,12796,_vat_number,field_60213e593c78a
186542,235425,12796,pg_cc,1
186543,235426,12796,_pg_cc,field_612758f917e85
186544,235427,12796,pg_bt,1
186545,235428,12796,_pg_bt,field_612758db17e84
186546,235429,12796,pg_curr_30,1
186547,235430,12796,_pg_curr_30,field_6127577548f1e
186548,235431,12796,pg_curr_60,0
186549,235432,12796,_pg_curr_60,field_6127579548f1f
186550,235433,12796,avls,
186551,235434,12796,_avls,field_60e161e74c5dc
186552,235435,12796,avl,
186553,235436,12796,_avl,field_60213e8a6f45a
186554,235437,12796,avl_comission,
186555,235438,12796,_avl_comission,field_612791782e0f8
186556,235439,12796,restricted_vendors,
186557,235440,12796,_restricted_vendors,field_60ed8a5752e4b
186558,235441,12796,req_certifications,
186559,235442,12796,_req_certifications,field_60213ebf6f45f
580036,691504,12796,logo,
580037,691505,12796,_logo,field_6249a20711e2c
580038,691506,12796,currency,ILS
580039,691507,12796,_currency,field_6228352d5b478
580040,691508,12796,shipping_street,
580041,691509,12796,_shipping_street,field_6249acb804db5
580042,691510,12796,shipping_house,
580043,691511,12796,_shipping_house,field_6249acbc04db6
580044,691512,12796,shipping_city,
580045,691513,12796,_shipping_city,field_6249acdf04dba
580046,691514,12796,shipping_zip,
580047,691515,12796,_shipping_zip,field_6249ad70f0cfc
580048,691516,12796,shipping_country,IL
580049,691517,12796,_shipping_country,field_6249acc404db8
580050,691518,12796,pg_gb,0
580051,691519,12796,_pg_gb,field_61910c2d67ce1
580052,691520,12796,is_iai,0
580053,691521,12796,_is_iai,field_61724bfe918a4
580054,691522,12796,target_price,0
580055,691523,12796,_target_price,field_624ae711ed7f7
580056,691524,12796,catalog_item,0
580057,691525,12796,_catalog_item,field_628329cf41e38
580058,691526,12796,upload_xls,1
580059,691527,12796,_upload_xls,field_628349c59daa7
580060,691528,12796,offers_xls,0
580061,691529,12796,_offers_xls,field_626f824529122
